classifier,noise,accuracy,accuracy_se,precision,precision_se,recall,recall_se
logistic,0.0,0.9722772277227723,0.00766473239800748,0.9651224119584544,0.013196769106382084,0.9826489022959611,0.01124963495621965
random_forest,0.0,0.9970297029702969,0.002812187962626864,1.0,0.0,0.9942587412587413,0.005441534972133444
naive_bayes,0.0,0.9643564356435643,0.007364036689817856,0.9451320090687896,0.015931364619120307,0.9906547794478829,0.005802184900030667
lstm,0.0,0.5476190476190477,0.0,0.6060606060606061,0.0,0.4444444444444444,0.0
logistic,0.1,0.9693069306930692,0.009286508033049742,0.9612417865359042,0.012969572234860026,0.9811856782097863,0.00913941492383065
random_forest,0.1,0.9871287128712872,0.007286924233032963,1.0,0.0,0.9759954879197389,0.013755713299359104
naive_bayes,0.1,0.9683168316831683,0.012516455593398142,0.9528547485886498,0.01719382723179348,0.9889493633264126,0.007547021460033111
lstm,0.1,0.6547619047619048,0.0,0.8947368421052632,0.0,0.38636363636363635,0.0
logistic,0.2,0.9603960396039604,0.010977657751490162,0.9507058522823572,0.017225917817651877,0.9756946344487328,0.008918735074195737
random_forest,0.2,0.9683168316831683,0.010557973147374848,0.9810532518859587,0.009844875144035625,0.9598629650928059,0.019748754019390084
naive_bayes,0.2,0.9475247524752476,0.010994796962163147,0.9337771430647361,0.01680003185274461,0.9702542291784801,0.008899161813169926
lstm,0.2,0.44047619047619047,0.0,0.45714285714285713,0.0,0.36363636363636365,0.0
logistic,0.3,0.9435643564356436,0.007286924233032941,0.9395064105561135,0.014249203495500996,0.9561647710763861,0.013088735278508457
random_forest,0.3,0.9475247524752476,0.010286979101057095,0.9550518977877468,0.01666475256460837,0.9476126068886351,0.021282320027907885
naive_bayes,0.3,0.9287128712871286,0.015476161581488576,0.9132161632767778,0.019383633729580498,0.9581666108713293,0.014575474427601008
lstm,0.3,0.6309523809523809,0.0,0.6571428571428571,0.0,0.5476190476190477,0.0
logistic,0.4,0.9198019801980198,0.009683544911585866,0.9144918647510666,0.016207488234107295,0.9371661020430017,0.01610823399319718
random_forest,0.4,0.9297029702970298,0.013570289950341485,0.9163608771412765,0.020824982521666507,0.9568869351607023,0.023399896162742725
naive_bayes,0.4,0.915841584158416,0.013790511876713712,0.9071229593884498,0.019037971295833657,0.9404664539975951,0.0253889821864467
lstm,0.4,0.5952380952380952,0.0,0.5909090909090909,0.0,0.34210526315789475,0.0
logistic,0.5,0.8742574257425743,0.019989060825634425,0.8820951245225691,0.02277524861286272,0.8841118150271876,0.03187788922838216
random_forest,0.5,0.8841584158415842,0.018006788903712972,0.8997126407901668,0.021706600742011938,0.8826420072720742,0.028837263598509435
naive_bayes,0.5,0.8564356435643565,0.021302384586235783,0.8782482216035525,0.018679659058367333,0.848496774717737,0.035272557404298126
lstm,0.5,0.6666666666666666,0.0,0.6862745098039216,0.0,0.7446808510638298,0.0
logistic,0.6,0.8336633663366337,0.013388692708472963,0.8328448654591927,0.017371770896730122,0.8600159049653613,0.020907581537491657
random_forest,0.6,0.8198019801980199,0.018774683390097205,0.8467805728618407,0.024580691093638772,0.8113691149085357,0.04584639814965339
naive_bayes,0.6,0.805940594059406,0.018245712614767977,0.824198917951929,0.022818636398220047,0.8098768620633416,0.031138796239082864
lstm,0.6,0.6190476190476191,0.0,0.7105263157894737,0.0,0.5625,0.0
logistic,0.7,0.7722772277227723,0.026749243122868156,0.7852033345838562,0.026670557955585938,0.7881891778697219,0.043307016822983956
random_forest,0.7,0.7722772277227723,0.02160954089336009,0.7947458962244467,0.0305663926378222,0.7731665741653438,0.02708531341333595
naive_bayes,0.7,0.7227722772277227,0.03200509713350738,0.7534579537707139,0.02830630912517523,0.7165377330770872,0.05526503242663241
lstm,0.7,0.7738095238095238,0.0,0.8378378378378378,0.0,0.7045454545454546,0.0
logistic,0.8,0.689108910891089,0.022664277693850765,0.7243471443306342,0.027502402186821387,0.6709046546608811,0.042673238084306966
random_forest,0.8,0.6851485148514851,0.022261921254187696,0.7109280351200973,0.027728424724396284,0.6829792072907492,0.048491965183659266
naive_bayes,0.8,0.6366336633663365,0.027451004557404915,0.6732058173801518,0.043908396431799175,0.6340540624392584,0.051235687552973315
lstm,0.8,0.7976190476190477,0.0,0.875,0.0,0.7446808510638298,0.0
logistic,0.9,0.6267326732673266,0.021791756669872805,0.6464171406243876,0.03502636301755246,0.6690299363838419,0.053283495343069885
random_forest,0.9,0.6405940594059405,0.030566666579362956,0.6611652088694964,0.03948512052725173,0.6701651185602903,0.07121864567698574
naive_bayes,0.9,0.5316831683168317,0.02917997925117678,0.5593015397193472,0.030112331707839397,0.5914944871304397,0.09323509301151543
lstm,0.9,0.7380952380952381,0.0,0.7142857142857143,0.0,0.75,0.0
